A4	[0]/'ei'fO:	n. A4型纸（规格为297×210毫米的纸）
sara	[0]/'sB:rE	n. 萨拉（女子名）；萨拉族；萨拉人
sarah	[0]/'sεErE	n. 莎拉（女子名）；萨拉（《圣经》中的人物）
saran	[3A]//sE'rAn	n. 合成树脂之一，耐火塑胶料
sarcasm	[3A]/'sBDkAz(E)m/'sBrkAzEm	n. 讽刺；挖苦；嘲笑
sarcastic	[3A]/sBD'kAstIk/sBr'kAstIk	adj. 挖苦的；尖刻的，辛辣的
sarcoma	[3A]/sBD'kEJmE/sBr'komE	n. [肿瘤] 肉瘤，恶性毒瘤
sard	[3A]/sBDd/sBrd	n. [矿物] 肉红玉髓
sardine	[3A]/sBD'diDn/,sBr'din	n. 沙丁鱼；庸碌无能的人
sare	[0]	abbr. （美国）可持续农业研究与教育（Sustainable Agriculture Research and Education）
saree	[0]/'sBri	n. 纱丽服
sari	[3A]/'sBDrI/'sBri	n. （印）纱丽（等于saree）；卷布
sartorial	[3A]/sBD'tODrIEl/sBr'tOrIEl	adj. 裁缝的；缝纫的；裁缝匠的
sasa	[0]	n. 莎莎（香港著名化妆品品牌）
sash	[3A]/sAF/sAF	n. 腰带；肩带；饰带；框格
saskatoon	[0]/,sAskE'tJn	n. 七度科植物；唐棣属植物（等于Juneberry）
sass	[3A]/sAs/sAs	n. （美）炖水果；果脯蜜饯；无礼的话
sat	[3A]/sAt/sAt	v. 坐（sit的过去式，过去分词）
sata	[3A]//	abbr. 串行高级技术附件（Serial Advanced Technology Attachment）
satchel	[3A]/'sAtF(E)l/'sAtFEl	n. 书包；小背包
sate	[3A]/seIt/set	v. 使心满意足，使饱享（sit 的过去式和过去分词）
satellite	[3A]/'sAtElaIt/'sAtElaIt	n. 卫星；人造卫星；随从；卫星国家
sati	[3A]/'sRtiD; sR'tiD/'sRti	n. 殉死（等于suttee）
satiable	[3A]/'seIFIEbl/'seFIEbl	adj. 可满足的
satiate	[3A]/'seIFIeIt/'seFIet	vt. 充分满足；使厌腻
satiated	[0]/'seiFieitid	adj. [对...厌倦的；充分满足的；生腻的
satiation	[0]/,seFI'eFEn	n. 饱满；饱食；满足；厌腻
satin	[3A]/'sAtIn/'sAtn	n. 缎子；缎子衣服
satiny	[0]/'sAtni	adj. 光滑的，缎子似的，柔软的
satire	[3A]/'sAtaIE/'sAtaIM	n. 讽刺；讽刺文学，讽刺作品
satiric	[2A]/sE'tIrIkl	adj. 讽刺的；挖苦的
satirical	[3A]/sE'tIrIk(E)l/sE'tIrIkl	adj. 讽刺性的；讥讽的；爱挖苦人的
satirize	[3A]/'sAtIraIz/'sAtE'raIz	vt. 讽刺；挖苦
satis	[0]/'sAtis	abbr. 社会中的科学与技术（Science and Technology in Society）
satisfaction	[3A]/sAtIs'fAkF(E)n/,sAtIs'fAkFEn	n. 满意，满足；赔偿；乐事；赎罪
satisfactorily	[3A]/,sAtIs'fAktErElI/,RnsAtIs'fAktErIli	adv. 令人满意地
satisfactory	[3A]/sAtIs'fAkt(E)rI/,sAtIs'fAktEri	adj. 满意的；符合要求的；赎罪的
satisfied	[3A]/'sAtIsfaId/'sAtIs'faId	adj. 感到满意的
satisfies	[0]/'sAtisfaiz	n. 满足因素
satisfy	[3A]/'sAtIsfaI/'sAtIsfaI	vi. 令人满意；令人满足
satisfying	[3A]/'sAtIsfaIIN/'sAtIsfaIIN	adj. 令人满意的；令人满足的
sato	[0]	abbr. 自对准厚氧化物层（Self-Aligned Thick-Oxide）
satrap	[3A]/'sAtrAp/'setrIp	n. 总督；太守；主管人；有最后决定权的人
saturate	[3A]/'sAtFEreIt/'sAtFErIt	vt. 浸透，使湿透；使饱和，使充满
saturated	[3A]/'sAtFEreItId/'sAtFEretId	adj. 饱和的；渗透的；深颜色的
saturation	[3A]/sAtFE'reIF(E)n/'sAtFE'reFEn	n. 饱和；色饱和度；浸透；磁化饱和
saturnine	[3A]/'sAtEnaIn/	adj. 忧郁的；阴沉的；铅中毒的；沉默寡言的
satyr	[3A]/'sAtE/'sAtM	n. 好色之徒；萨梯（希腊神话中森林之神）；眼蝶科
sau	[0]/sau, sE'u:	n. 分（越南货币名）
sauce	[3A]/sODs/sOs	n. 酱油；沙司；调味汁
saucepan	[3A]/'sODspEn/'sOspAn	n. 炖锅；深平底锅
saucer	[3A]/'sODsE/'sOsM	n. 茶托，浅碟；浅碟形物；眼睛
saucy	[3A]/'sODsI/'sOsi	adj. 漂亮的；活泼的；莽撞的；俏丽的
sault	[1]/suD	n. 瀑布；急流
sauna	[3A]/'sODnE/'sOnE	n. 桑拿浴
saunter	[3A]/'sODntE/'sOntM	n. 漫步；闲逛
sausage	[3A]/'sLsIdG/'sOsIdG	n. 香肠；腊肠；装香肠的碎肉
saute	[3A]/'sEutei/	vt. 炒；嫩煎
savage	[3A]/'sAvIdG/'sAvIdG	adj. 野蛮的；残酷的；狂怒的；荒凉的
savagely	[2B]/'sAvIdGli	adv. 野蛮地；残忍地
savages	[3A]/'sAvidGiz/	n. 野蛮人（savage的复数）；残酷的人
savanna	[3A]/sE'vAnE/sE'vAnE	n. [生态] 热带草原；热带的稀树大草原
savannah	[3A]/sE'vAnE/	n. 大草原，热带草原（等于savanna）
savant	[3A]/'sAvEnt/sA'vBnt	n. 学者；专家
save	[3A]/seIv/sev	vt. 节省；保存；储蓄；解救
saved	[3A]//	adj. 获救的；已保存的
saver	[3A]/'seIvE/'sevM	n. 救助者；节俭的人；节约装置
saves	[0]	n. 救援（save的复数）
savin	[0]/'sAvin	n. [林] 新疆圆柏（等于savine）
saving	[3A]/'seIvIN/'sevIN	n. 节约；挽救；存款
savings	[3A]//'sevINz	n. 储蓄；存款；救助；节省物（saving的复数形式）
savior	[3A]//'sevjM	n. 救世主；救星；救助者
saviour	[3A]/'seIvjE/	n. 救世主；救星；救助者
savor	[3A]/'seivE/	vt. 尽情享受；使有风味；加调味品于
savory	[3A]/'seivEri/	adj. 可口的；风味极佳的；味美的
savour	[0]/'seivE	vt. 具有…的特点；加调味品于；使有风味
savoury	[3A]/'seIv(E)rI/	n. 开胃的菜肴
savoy	[3A]/sE'vLI/sE'vOI	n. 皱叶甘兰
savvy	[3A]/'sAvI/'sAvi	n. 悟性；理解能力；懂行（的人）
saw	[3A]/sOD/sO	vt. 锯；锯成；锯开
sawdust	[3A]/'sODdRst/'sO'dRst	n. [木] 锯屑
sawed	[0]/sOd	vbl. 锯
sawfish	[3A]/'sODfIF/'sO,fIF	n. [鱼] 锯鳐；锯鲛
sawing	[0]/'sO:iN	n. 锯切
sawmill	[3A]/'sODmIl/'sOmIl	n. 锯木厂；锯木机
sawtooth	[3A]/'sODtuDZ/'sO,tJZ	n. 锯齿；锐齿
sax	[3A]/sAks/sAks	n. 萨克斯管（等于saxophone）；石板斧
saxophone	[3A]/'sAksEfEJn/'sAksEfon	n. 萨克斯管
say	[3A]/seI/se	vt. 讲；说明；例如；声称；假设；指明
saya	[0]/'sB:'jB:	n. 赛亚裙（菲律宾、西班牙和西班牙语国家穿的一种齐膝短裙）
saying	[3A]/'seIIN/'seIN	n. 话；谚语；言论
sayings	[0]/'seIN	n. 语录（saying的复数）
says	[3A]/sez/	v. 说（第三人称单数）
sb	[3A]//	abbr. 售货簿（Sales Book）；储蓄银行（Saving Bank）；烟灰吹除机（Soot Blower）
sba	[0]	abbr. 标准射束着陆系统（Standard Beam Approach）；（美国）小型企业管理局（Small Business Administration）
sbc	[0]	abbr. 小企业委员会（Small Business Council）；单板计算机（single board computer）；瑞士银行公司（Swiss Bank Corp.）
sbr	[0]	abbr. 选择性雷达信标台（Selective Beacon Radar）
sbs	[0]	abbr. 小型商业卫星（small business satellite）；亚声速的（subsonic）
sc	[3A]//	abbr. 最高法院（Supreme Court）；联合国安全理事会（Security Council）；通讯兵团（Signal Corps）
sca	[0]	abbr. 美国科学俱乐部联合会（Science Clubs of America）
scab	[3A]/skAb/skAb	n. 痂；疤；疥癣；恶棍
scabbard	[3A]/'skAbEd/'skAbMd	vt. 把…插入鞘中
scad	[3A]/skAd/skAd	n. 竹荚鱼；许多
scada	[0]	abbr. 监测控制和数据采集（supervisory control and data acquisition）
scads	[0]/skAdz	n. 很多；巨额
scaffold	[3A]/'skAfEJld; -f(E)ld/'skAfold	n. 脚手架；鹰架；绞刑台
scaffolding	[3A]/'skAfEJldIN; -f(E)ld-/'skAfEldIN	n. 脚手架；搭脚手架的材料
scal	[0]	abbr. 特殊岩心分析；学者自我观念量表（Self-Concept as a Learner Scale）
scala	[0]	n. 斯卡拉
scalable	[3A]/'skeIlEb(E)l/'skelEbl	adj. 可攀登的；可去鳞的；可称量的
scalar	[3A]/'skeIlE/	adj. 标量的；数量的；梯状的，分等级的
scald	[3A]/skODld/skOld	vt. 烫伤；烫洗；加热；晒焦
scalding	[3A]/'skODldIN/'skOldIN	adj. 滚烫的；尖刻的
scale	[3A]/skeIl/skel	n. 规模；比例；鳞；刻度；天平；数值范围
scaled	[0]/skeld	adj. 有鳞的；（房屋）栉比鳞次的；已去了鳞的
scales	[3A]/skeilz/	n. 天平；磅秤；鳞屑；缩放
scaling	[3A]//'skelIN	n. 缩放比例；刮治术，[口腔] 刮牙术；鳞片排列
scall	[3A]/skODl/	n. 痂病，鳞癣；头皮屑
scallion	[3A]/'skAlIEn/'skAlIEn	n. 青葱，冬葱；韭葱
scalp	[3A]/skAlp/skAlp	n. 头皮；战利品
scalpel	[3A]/'skAlp(E)l/skAl'pCl	n. 解剖刀；外科手术刀
scalper	[3A]//'skAlpM	n. 黄牛（专售戏票等牟利）；剥头皮的人；雕刻刀，圆凿子
scaly	[3A]/'skeIlI/'skeli	adj. 有鳞的；积垢的；劣等的
scam	[3A]/skAm/skAm	n. 骗局，诡计；故事
scamper	[3A]/'skAmpE/'skAmpM	vi. 蹦蹦跳跳；奔跑，惊惶奔跑
scams	[0]	n. 诈骗；诡计（scam的复数形式）
scan	[3A]/skAn/skAn	vt. 扫描；浏览；细看；详细调查；标出格律
scandal	[3A]/'skAnd(E)l/'skAndl	n. 丑闻；流言蜚语；诽谤；公愤
scandalous	[3A]/'skAndElEs/'skAndElEs	adj. 可耻的；诽谤性的
scanned	[3A]/skAnd/	adj. 已扫描的
scanner	[3A]/'skAnE/'skAnM	n. [计] 扫描仪；扫描器；光电子扫描装置
scanning	[3A]/'skAnIN/'skAnIN	n. 扫描；搜索，观测；扫掠
scans	[0]	abbr. 网络系统自动程序控制（scheduling control automation by network system）
scant	[3A]/skAnt/skAnt	adj. 不足的；缺乏的；勉强够的
scanty	[3A]/'skAntI/'skAnti	adj. 缺乏的；吝啬的；仅有的；稀疏的
scape	[3A]/skeIp/skep	n. [植] 花茎；[鸟] 羽轴；[昆] 柄节；[建] 柱身
scapegoat	[3A]/'skeIpgEJt/'skepɡot	n. 替罪羊，替人顶罪者；替身
scar	[3A]/skBD/skBr	vt. 伤害；给留下伤痕
scarce	[3A]/skeEs/skCrs	adj. 缺乏的，不足的；稀有的
scarcely	[3A]/'skeEslI/'skCrsli	adv. 几乎不，简直不；简直没有
scarcely...when	[0]	刚…就…
scarcity	[3A]/'skeEsItI/'skCrsEti	n. 不足；缺乏
scare	[3A]/skeE/skCr	vt. 惊吓；把…吓跑
scared	[3A]/skeEd/	adj. 害怕的
scares	[0]/skCr	n. 砂岩中透镜状煤体；煤中黄铁矿薄片
scarf	[3A]/skBDf/skBrf	n. 围巾；嵌接，嵌接处；头巾领巾
scarify	[3A]/'skArIfaI; 'skeErI-/'skCrIfaI	vt. 在…上划痕；乱划；严厉批评
scarlet	[3A]/'skBDlIt/'skBrlEt	adj. 深红的；鲜红色的；罪孽深重的；淫荡的
scarp	[3A]/skBDp/skBrp	vt. 在…设内斜坡；将…辟成陡坡
scarred	[0]/'ska:d	adj. 伤痕累累，有疤痕的；瘢痕性的
scars	[3A]//skBr	n. 疤痕；创伤（scar的复数形式）；冻结物
scarves	[3A]/skBDvz/skBrvz	n. 围巾；领带（scarf的复数）；截面
scary	[3A]/'skeErI/'skCri	adj. 提心吊胆的；引起惊慌的；胆小的
scat	[3A]/skAt/skAt	vi. 用拟声唱法唱；走开
scathe	[3A]/skeIT/	vt. 损伤；损害
scathing	[3A]/'skeITIN/'skeTIN	adj. 严厉的；损伤的
scatter	[3A]/'skAtE/'skAtM	vi. 分散，散开；散射
scattered	[3A]/'skAtEd/'skAtMd	adj. 分散的；散乱的
scattering	[3A]/'skAtErIN/'skAtErIN	n. 散射；分散
scavenge	[3A]/'skAvIn(d)G/'skAvIndG	vt. 打扫；排除废气；以…为食
scavenger	[3A]/'skAvIn(d)GE/'skAvIndGM	n. 食腐动物；清道夫；[助剂] 清除剂；拾荒者
scc	[0]	abbr. 单路调节器（single-channel controller）；特殊条款及文件（specific clauses and conditions）；卫星控制中心（satellite control center）；安全控制中心（Security Control Center）；顺序控制计数器（Sequence Control Counter）
scd	[0]	abbr. 安全编码装置（security coding device）；太阳捕获装置（Solar Capture Device）
scena	[0]/'FeinE, -nB:	n. 大段咏叹调的独唱；（歌剧的）一场
scenario	[3A]/sI'nBDrIEJ/sE'nArIo	n. 方案；情节；剧本
scenarios	[3A]//sI'nCrI,o	n. 情节；脚本；情景介绍（scenario的复数）
scend	[3A]/send/sCnd	n. 波浪的推动力；船的上升运动
scene	[3A]/siDn/sin	n. 场面；情景；景象；事件
scenery	[3A]/'siDn(E)rI/'sinEri	n. 风景；景色；舞台布景
scenes	[3A]//	n. 场景（scene的复数）；现场，景色
scenic	[3A]/'siDnIk/'sCnIk	adj. 风景优美的；舞台的；戏剧的
scent	[3A]/sent/sCnt	n. 气味；嗅觉；痕迹；察觉能力
scented	[3A]/'sentId/'sCntId	adj. 有香味的；有气味的；洒了香水的
scepter	[3A]/'septE/'sCptM	n. 节杖（象征君权）；王权
sceptic	[3A]/'skeptIk/	n. 怀疑论者；疑虑极深的人
sceptical	[3A]/'skeptIk(E)l/	adj. 怀疑的；怀疑论的；习惯怀疑的
sch	[0]	n. 同步信道；原理图；插座头
sched	[0]/skCd	n. （无线电）固定播送时间
schedule	[3A]/'FedjuDl; 'sked-/'skCdGul	vt. 安排，计划；编制目录；将……列入计划表
scheduled	[3A]/'FedjuDld/'sFCdGJEld	adj. 预定的；已排程的
scheduler	[3A]/'FedjuDElE/'FCdGJElM	n. 调度程序；制表人，计划员；程序机
schedules	[3A]//	n. 时间表；日程安排（schedule的复数形式）；待办事项
scheduling	[0]/'FCdGJElIN	n. 时序安排，行程安排
schelling	[0]/'skeliN	n. 先令（古代低地国家如荷兰、比利时、卢森堡等国的银币或合金币）
schema	[3A]/'skiDmE/'skimE	n. [计][心理] 模式；计划；图解；概要
schemata	[0]/'skimE	n. 图解；纲要
schematic	[3A]/skiD'mAtIk; skI-/ski'mAtIk	adj. 图解的；概要的
schematics	[3A]//	n. 图表；电路图（schematic的复数）
scheme	[3A]/skiDm/skim	n. 计划；组合；体制；诡计
schemer	[2A]/'skimM	n. 阴谋家；谋士；计划者
scheming	[3A]/'skiDmIN/'skimIN	adj. 惯耍阴谋的，诡计多端的
scher	[0]	n. 谢尔（姓氏名）
scherzo	[3A]/'skeEtsEJ/'skCrtso	n. 诙谐曲
schiller	[1]/'FIlE	n. 青铜色光泽
schism	[3A]/'sIz(E)m; 'skIz(E)m/'skIzEm	n. 分裂；分裂教会罪
schizophrenia	[3A]/,skItsE(J)'friDnIE/,skItsE'frinIE	n. [内科] 精神分裂症
schmidt	[3A]//	n. 施密特（姓氏）
scholar	[3A]/'skLlE/'skBlM	n. 学者；奖学金获得者
scholarly	[3A]/'skLlElI/'skBlMli	adj. 博学的；学者风度的；学者派头的
scholarship	[3A]/'skLlEFIp/'skBlMFIp	n. 奖学金；学识，学问
scholastic	[3A]/skE'lAstIk/skE'lAstIk	adj. 学校的；学者的；学术的（等于scholastical）
school	[3A]/skuDl/skul	n. 学校；学院；学派；鱼群
schoolbag	[3A]/'skuDlbAɡ/	n. 书包
schoolbook	[3A]/'skuDlbJk/	n. 教科书
schoolboy	[3A]/'skuDlbLI/'skulbOI	n. 男学生；学童
schoolchildren	[0]/'sku:ltFildrEn	n. 小学生（schoolchild的复数）
schoolgirl	[3A]/'skuDlgHDl/'skulɡKl	n. 女学生
schooling	[3A]/'skuDlIN/'skulIN	n. 学校教育；学费
schoolmaster	[3A]/'skuDlmBDstE/'skulmAstM	n. 男校长；教导者；男教师
schoolmate	[3A]/'skuDlmeIt/'skJl'met	n. 同学；同窗
schools	[0]	n. 学校（school的复数形式）
schoolwork	[3A]/'skuDlwHDk/'skJl,wKk	n. 家庭作业；学校作业
schoolyard	[3A]/'skuDljBDd/'skuljBrd	n. 校园；运动场
schooner	[3A]/'skuDnE/'skunM	n. [船] 纵帆船；大酒杯；大篷车
schumann	[2B]	n. 舒曼（德国作曲家）
schweitzer	[0]/'FvaitsE	n. 施韦策（姓氏，特指法国基督教牧师和哲学家，曾经获得诺贝尔和平奖）；史怀哲（德国医学家和神学家以及哲学家）
sci	[0]	abbr. 舰控截击（Ship Controlled Intercept）；舰运集装箱协会（ShippingContainer Institute）；化学工业协会（Society ofChemicalIndustry）
science	[3A]/'saIEns/'saIEns	n. 科学；技术；学科；理科
sciences	[3A]//'saIEns	n. 科学（science的复数）
scient	[0]/'saiEnt	adj. 有知识的；有技巧的
scientific	[3A]/saIEn'tIfIk/,saIEn'tIfIk	adj. 科学的，系统的
scientist	[3A]/'saIEntIst/'saIEntIst	n. 科学家
scintillating	[2A]/'sIntIletIN	adj. 闪烁的；才气横溢的
scion	[3A]/'saIEn/'saIEn	n. [农学] 接穗；子孙
scission	[3A]/'sIF(E)n/'sIGEn	n. 切断，分离；断开
scissor	[3A]/'sIzE/'sIzM,kRt	vt. 用剪刀剪；删去
scissors	[3A]/'sIzEz/'sIzMz	n. 剪刀；剪式跳法
scl	[0]	abbr. 皮肤传导水平；证券特征线（security characteristic line）
sclerotic	[3A]/sklIE'rLtIk; sklE-/sklI'rBtIk	adj. 硬化的，僵硬的；巩膜的
scm	[0]	abbr. 单片机（Single Chip Micyoco）；供应链关系管理（Supply Chain Management）
scn	[0]	n. 视交叉上核
sco	[0]	abbr. 位置时间计数器（Set Time Counter）；一个常用的Unix操作系统
scoff	[3A]/skLf/skOf	n. 嘲笑；愚弄；笑柄
scoffer	[0]/'skOfM	n. 嘲笑者
scold	[3A]/skEJld/skold	vi. 责骂；叱责
scolding	[0]/'skEuldiN	n. 责骂，斥责
scoop	[3A]/skuDp/skup	vt. 掘；舀取；抢先获得；搜集
scooping	[0]/'sku:piN	n. 捞球
scoot	[3A]/skuDt/skut	vi. 溜走；快走；骑轻便摩托车
scooter	[3A]/'skuDtE/'skutM	n. 小轮摩托车；速可达；单脚滑行车；小孩滑板车
scooters	[0]	n. 踏板车；小轮摩托车；滑行艇（scooter的复数）
scope	[3A]/skEJp/skop	n. 范围；余地；视野；眼界；导弹射程
scopes	[0]/skEups	n. 范围，领域；见识；机会（scope的复数形式）
scopy	[0]/'skEupi	adj. （马）具极大跳跃（或跨步）能力的
scorch	[3A]/skODtF/skOrtF	vt. 烧焦；使枯萎；挖苦
scorched	[0]/skO:tFt	n. 烧焦，烤焦；焦头烂额
scorcher	[3A]/'skODtFE/'skOrtFM	n. 大热天；炎热的天；以飞快速度驾车的人；尖酸刻薄的话
score	[3A]/skOD/skO	n. 分数；二十；配乐；刻痕
scoreboard	[3A]/'skODbODd/'skOr'bOrd	n. 记分板，记分牌
scorecard	[3A]/'skODkBDd/'skOrkBrd	n. 记分卡
scored	[3A]/skODd/skor	adj. 折叠的；刮伤的
scorer	[2A]/'skOrM	n. （竞赛等的）记分员；记录员；得分者；刻划痕迹的人
scoring	[3A]/'skODrIN/	n. 得分；刻痕；总谱
scorn	[3A]/skODn/skOrn	n. 轻蔑；嘲笑；藐视的对象
scorner	[0]/'skO:nE	n. 轻蔑者；藐视者；嘲笑者
scorpion	[3A]/'skODpIEn/'skMpIEn	n. 蝎子；蝎尾鞭；心黑的人
scot	[3A]/skLt/skBt	n. 税赋，税金
scotch	[3A]/skLtF/skBtF	vi. 弄伤；制止转动；扑灭；镇压
scotia	[3A]/'skEJFE/'skoFE	n. 凹形边饰
scoundrel	[3A]/'skaJndr(E)l/'skaJndrEl	adj. 卑鄙的
scour	[3A]/'skaJE/'skaJM	vi. 冲刷；擦；腹泻
scourge	[3A]/skHDdG/skKdG	vt. 鞭打；蹂躏；严斥；痛斥
scouring	[0]/'skaJrIN	n. 洗擦
scours	[0]/skauz	n. 家畜腹泻病
scout	[3A]/skaJt/skaJt	n. 搜索，侦察；侦察员；侦察机
scouting	[3A]/'skaJtIN/'skaJtIN	n. 童子军的活动；初步勘探；搜索活动
scow	[3A]/skaJ/skaJ	n. 方驳；敞舱平底驳船；耙斗
scowl	[3A]/skaJl/skaJl	n. 愁容；怒容；阴沉沉的样子
scp	[0]	abbr. 单细胞蛋白质（single-cell protein）；球面烛光（spherical candlepower）
scr	[0]	abbr. 可控硅整流器（Silicon Controlled Rectifier）；半导体控制整流器（Semiconductor Control Rectifier）；通讯兵团无线电与雷达装置设备（Signal Corps Radio and Radar）；侦察车侦察（Scout Car Reconnaissance）
scram	[3A]/skrAm/skrAm	vi. 迅速溜走；滚开
scramble	[3A]/'skrAmb(E)l/'skrAmbl	vt. 攀登；使混杂，仓促凑成；扰乱
scrambled	[3A]//'skrAmbl	n. 密码形式；扰频
scrambler	[2A]/'skrAmblM	n. 爬行者；[电子] 扰频器；周率扰乱器
scrambling	[0]/'skrAmblIN	n. 不规则性；加扰；混乱；攀登
scrap	[3A]/skrAp/skrAp	n. 碎片；残余物；打架；少量
scrapbook	[3A]/'skrApbJk/'skrApbJk	n. 剪贴簿
scrape	[3A]/skreIp/skrep	n. 刮掉；擦痕；困境；刮擦声
scraper	[3A]/'skreIpE/'skrepM	n. 刮刀；铲土机；守财奴
scraping	[3A]/'skreIpIN/'skrepIN	n. 刮削下的碎屑；刮擦声；抹去
scrapped	[0]	adj. 报废的；已经销毁的
scrappy	[3A]/'skrApI/'skrApi	adj. 爱打架的；杂凑的；不连贯的；生气勃勃的
scraps	[0]/skrAps	n. 残羹剩饭；刮屑（scrap的复数）
scratch	[3A]/skrAtF/skrAtF	n. 擦伤；抓痕；刮擦声；乱写
scratcher	[0]/'bAk,skrAtFM	n. 抓扒者；抓扒工具
scratching	[3A]//	v. 划伤；擦伤；刮痕（scratch的ing形式）
scratchy	[3A]/'skrAtFI/'skrAtFi	adj. 潦草的；刺痒的；草率的；发刮擦声的
scrawl	[3A]/skrODl/skrOl	vt. 潦草地写；乱涂
scream	[3A]/skriDm/skrim	vi. 尖叫；呼啸；发出尖锐刺耳的声音；令人触目惊心
screamer	[3A]/'skriDmE/'skrimM	n. 尖声叫喊的人；令人惊叹的事；惊叹符号；耸人听闻的标题
screaming	[3A]/'skriDmIN/'skrimIN	adj. 尖叫的；使人惊叹的；使人捧腹大笑的
scree	[3A]/skriD/skri	n. 小石子；岩屑堆；崩落；筛
screech	[3A]/skriDtF/skritF	vi. 发出尖锐的声音；发出恐惧或痛苦的叫喊声
screed	[3A]/skriDd/skrid	n. 冗长的文章；[地质] 砂浆层
screen	[3A]/skriDn/skrin	n. 屏，幕；屏风
screened	[0]/'skri:nd	adj. 筛过的，屏蔽的
screening	[3A]/'skriDnIN/'skrinIN	n. 筛选；放映；[物] 屏蔽；审查；防波
screenings	[2B]/'skrinINz	n. 筛后残余的物；[建] 筛屑；残渣
screenplay	[3A]/'skriDnpleI/'skrin'ple	n. 编剧，剧本；电影剧本
screens	[0]/skri:nz	n. 屏幕（screen的复数）；卡位
screenwriter	[3A]/'skriDnraItE/'skrinraItM	n. 编剧家；电影剧本作家
screw	[3A]/skruD/skru	vt. 旋，拧；压榨；强迫
screwball	[3A]/'skruDbODl/'skrubOl	n. 怪人；略带神经病的人；内曲线球
screwdriver	[3A]/'skruDdraIvE/'skrJ'draIvM	n. 螺丝刀
screwed	[3A]/skruDd/skrJd	adj. 螺丝状的；用螺丝拧紧的；喝醉了的
screwing	[0]	n. 螺丝接合；车削螺纹
screws	[3A]//	n. 螺丝；潜水员病；螺旋体（screw的复数）
scribble	[3A]/'skrIb(E)l/'skrIbl	n. 潦草写成的东西；潦草的写法；杂文
scribbler	[3A]/'skrIblE(r)/'skrIblM	n. 三流作家；小文人；潦草书写的人
scribe	[3A]/skraIb/skraIb	n. 抄写员；作家；划线器
scribing	[0]/skraIb	n. 划线；[建] 雕合
script	[3A]/skrIpt/skrIpt	n. 脚本；手迹；书写用的字母
scripting	[0]/skrIpt	n. 脚本语言；脚本撰写；脚本处理
scripts	[3A]//skrIpt	n. 原稿，手稿（script的复数形式）
scripture	[3A]/'skrIptFE/'skrIptFM	n. （大写）圣经；手稿；（大写）圣经的一句
scriptures	[3A]//'skrIptFM	n. 经文，经典著作
scriptwriter	[3A]/'skrIptraItE/'skrIptraItM	n. 编剧
scroll	[3A]/skrEJl/skrol	n. 卷轴，画卷；名册；卷形物
scrolled	[0]/skrEuld	adj. 具有涡卷装饰的；弯曲的
scrolling	[3A]/'skrEJlIN/skrol	n. 卷动
scrooge	[0]/'skru:dG	vt. 推；挤
scrub	[3A]/skrRb/skrRb	n. 矮树；洗擦；擦洗者；矮小的人（或物）
scrubs	[0]	n. 实习医生风云（电视剧名）
scruffy	[3A]/'skrRfI/'skrRfi	adj. 破旧的；肮脏的；不整齐的
scrum	[3A]/skrRm/skrRm	n. 扭打，混乱；并列争球
scrunch	[3A]/skrRn(t)F/skrRntF	n. 嘎吱嘎吱的响声；碾压
scruple	[3A]/'skruDp(E)l/'skrupl	n. 微量；顾虑；踌躇
scrupulous	[3A]/'skruDpjJlEs/'skrupjElEs	adj. 细心的；小心谨慎的；一丝不苟的
scrupulously	[3A]//	adv. 严谨地；小心翼翼地；多顾虑地
scrutable	[3A]/'skruDtEbl/'skrJtEbl	adj. 可以了解的；可解读的
scrutinize	[3A]//'skrutEnaIz	vi. 细阅；作详细检查
scrutiny	[3A]/'skruDtInI/'skrutEni	n. 详细审查；监视；细看；选票复查
scs	[0]	abbr. 秘密控制站（Secret Control Station）；空间指挥台（Space Command Station）；稳定性控制系统（Stabilization Control System）；土壤保持局（Soil Conservation Service）
scsi	[3A]//	abbr. 小型计算机系统接口
scuba	[3A]/'skuDbE; 'skjuDbE/'skjJbE	n. 水肺；水中呼吸器
scud	[3A]/skRd/skRd	n. 飞毛腿；疾行；飘飞的云
scuff	[3A]/skRf/skRf	vt. 使磨损；践踏；拖着脚走
scuffle	[3A]/'skRf(E)l/'skRfl	vi. 扭打；乱斗；拖着脚走路
scullion	[3A]/'skRlIEn/	n. 厨房帮手；洗碟碗的人
sculpt	[3A]/skRlpt/skRlpt	vt. 造型；雕刻
sculptor	[3A]/'skRlptE/'skRlptM	n. 雕刻家
sculptural	[2A]/'skRlptFErEl	adj. 雕刻的；雕刻般的
sculpture	[3A]/'skRlptFE/'skRlptFM	n. 雕塑；雕刻；刻蚀
sculptured	[2A]/'skRlptFMd	adj. 用刻纹装饰的；具刻纹的
scum	[3A]/skRm/skRm	n. 浮渣；泡沫；糟粕
scurrilous	[3A]/'skRrIlEs/'skKElEs	adj. 下流的；说话粗鄙恶劣的；无礼的
scurry	[3A]/'skRrI/'skKi	n. 急跑；短距离赛跑（或赛马）
scurvy	[3A]/'skHDvI/'skKvi	adj. 卑鄙的，下流的
scutter	[3A]/'skRtE/	vi. 急跑；疾走
scuttle	[3A]/'skRt(E)l/'skRtl	n. 天窗；煤桶；筐
scythe	[3A]/saIT/saIT	n. 长柄大镰刀；钐刀
sd	[0]	abbr. 标准偏差（standard deviation）；美国南达科他州（邮政编码，South Dakota）；侧视图（sight draft）
